排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,籌碼評分,風險等級,交易訊號,信心度,倉位建議,核心論點,狀態
732,3017,奇鋐,$1165.00,89.7,A+,70,72,100,低,BUY,90%,可配置20-30%資金,基本面優異且技術面向好，具備中長期投資價值,成功
509,2376,技嘉,$311.50,87.6,A+,71,65,100,低,BUY,95%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
675,2855,統一證,$24.15,86.9,A+,71,63,100,低,BUY,95%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
513,2382,廣達,$300.00,86.0,A+,77,65,75,低,BUY,87%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
481,2330,台積電,$1400.00,80.7,A+,50,77,75,低,HOLD,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
384,1773,勝一,$141.00,78.8,A,50,85,50,低,HOLD,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
724,3008,大立光,$2385.00,78.2,A,40,85,75,低,SELL,60%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
564,2455,全新,$163.00,77.7,A,55,77,60,低,HOLD,50%,可配置20-30%資金,基本面優異且技術面向好，具備中長期投資價值,成功
597,2501,國建,$23.30,77.5,A,40,72,100,低,SELL,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
556,2441,超豐,$63.20,77.3,A,43,73,100,低,HOLD,38%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
498,2360,致茂,$639.00,77.0,A,50,77,50,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
566,2458,義隆,$136.00,76.4,A,71,68,25,低,BUY,91%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
378,1736,喬山,$179.00,76.2,A,45,80,50,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
487,2345,智邦,$1105.00,76.2,A,45,72,75,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
610,2530,華建,$29.95,75.8,A,43,92,50,低,HOLD,38%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
758,3044,健鼎,$309.00,75.2,A,45,80,50,低,HOLD,40%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
385,1783,和康生,$47.05,75.2,A,50,75,50,低,HOLD,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
540,2421,建準,$128.50,74.8,A,35,80,75,低,SELL,60%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
388,1795,美時,$266.00,74.7,A,30,82,75,低,SELL,75%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
619,2545,皇翔,$43.50,74.5,A,40,85,50,低,SELL,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
580,2472,立隆電,$87.20,74.0,A,43,85,50,低,HOLD,38%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
361,1713,國化,$48.70,74.0,A,43,72,75,低,HOLD,38%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
490,2348A,海悅甲特,$36.30,74.0,A,50,78,50,低,HOLD,40%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
416,2024,志聯,$19.30,74.0,A,70,42,75,低,BUY,90%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
728,3004,豐達科,$140.00,73.8,A,55,66,50,低,HOLD,50%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
480,2327,國巨*,$175.50,73.3,A,30,78,70,低,SELL,80%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
337,1590,亞德客-KY,$810.00,73.2,A,55,75,25,低,HOLD,50%,可配置20-30%資金,基本面優異且技術面向好，具備中長期投資價值,成功
327,1560,中砂,$341.00,73.2,A,55,77,35,低,HOLD,50%,可配置20-30%資金,基本面優異且技術面向好，具備中長期投資價值,成功
380,1733,五鼎,$35.90,73.0,A,50,68,50,低,HOLD,45%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
671,2838,聯邦銀,$18.45,73.0,A,77,33,75,低,BUY,95%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
733,3019,亞光,$155.00,72.8,A,43,75,75,低,HOLD,38%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
683,2881A,富邦特,$63.50,72.8,A,55,65,50,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
286,1463,強盛新,$21.45,72.5,A,40,77,50,低,SELL,60%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
468,2313,華通,$75.90,72.1,A,58,58,50,低,HOLD,53%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
661,2762,世界健身-KY,$78.50,72.0,A,55,50,75,低,HOLD,55%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
464,2303,聯電,$43.85,72.0,A,43,75,50,低,HOLD,43%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
387,1789,神隆,$20.15,71.4,A,77,47,30,低,BUY,95%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
663,2801,彰銀,$20.15,71.1,A,55,41,95,低,HOLD,50%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
759,3045,台灣大,$109.00,71.0,A,45,70,50,低,HOLD,40%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
684,2881B,富邦金乙特,$62.10,71.0,A,50,65,50,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
447,2211,長榮鋼,$96.90,70.8,A,35,73,70,低,SELL,65%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
298,1476,儒鴻,$440.00,70.8,A,40,85,25,低,SELL,65%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
466,2308,台達電,$942.00,70.7,A,25,67,100,低,SELL,75%,可配置20-30%資金,基本面穩健，短期動能強勁，適合波段操作,成功
428,2059,川湖,$3415.00,70.5,A,30,77,70,低,SELL,65%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
693,2887,台新新光金,$18.25,70.5,A,45,58,75,低,HOLD,35%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
582,2480,敦陽科,$173.00,70.5,A,50,70,35,低,HOLD,45%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
743,3029,零壹,$121.50,70.5,A,35,70,80,低,SELL,60%,可配置20-30%資金,綜合評估一般，需要更多催化劑,成功
201,1104,環泥,$30.40,60.0,B+,35,62,100,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
282,1456,怡華,$12.30,59.5,B,55,58,50,低,HOLD,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
516,2385,群光,$136.00,59.5,B,38,77,50,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
373,1731,美吾華,$21.80,59.5,B,35,78,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
606,2524,京城,$45.40,59.5,B,43,85,30,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
750,3036,文曄,$134.00,59.2,B,45,65,50,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
374,1727,中華化,$40.30,59.2,B,77,35,50,低,BUY,95%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
496,2357,華碩,$685.00,59.2,B,35,75,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
649,2645,長榮航太,$161.50,59.0,B,58,65,30,低,HOLD,58%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
386,1786,科妍,$105.00,59.0,B,30,70,75,低,SELL,65%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
640,2633,台灣高鐵,$27.80,58.8,B,40,60,80,低,SELL,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
251,1409,新纖,$14.20,58.8,B,40,58,80,低,SELL,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
325,1537,廣隆,$130.00,58.7,B,15,87,75,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
541,2423,固緯,$55.30,58.5,B,50,58,50,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
355,1707,葡萄王,$129.00,58.5,B,30,82,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
295,1473,台南,$29.70,58.5,B,50,55,50,低,HOLD,50%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
574,2467,志聖,$191.50,58.5,B,38,70,75,中,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
594,2497,怡利電,$49.15,58.5,B,40,68,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
471,2317,鴻海,$226.50,58.0,B,35,58,75,低,SELL,70%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
217,1229,聯華,$48.45,58.0,B,53,45,75,低,HOLD,48%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
700,2890,永豐金,$25.35,58.0,B,55,58,35,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
727,3005,神基,$147.00,57.8,B,38,75,50,低,SELL,62%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
