排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,風險等級,交易訊號,信心度,倉位建議,持有期間,EPS,ROE,本益比,負債比,核心論點,主要優勢,主要風險
1,6446,藥華藥,$559.00,86.2,A+,94,72,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),10.91,15.0%,51.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,高本益比 51.2 - 估值風險
2,3231,緯創,$146.00,80.5,A+,85,55,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),7.24,24.6%,20.2,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
3,6005,群益證,$24.50,78.2,A,74,67,低,BUY,69%,可配置20-30%資金,中長期持有 (3-6個月),1.98,10.9%,12.4,0.0%,基本面穩健，短期動能強勁，適合波段操作,技術面趨勢明確 | 風險控制良好,風險可控
4,2382,廣達,$286.50,76.2,A,69,67,低,HOLD,69%,可配置20-30%資金,中長期持有 (3-6個月),17.50,35.7%,16.4,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
5,1476,儒鴻,$441.50,76.0,A,64,73,低,HOLD,59%,可配置20-30%資金,中長期持有 (3-6個月),21.00,22.5%,21.0,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
6,2330,台積電,$1325.00,75.9,A,57,82,低,HOLD,57%,可配置20-30%資金,中長期持有 (3-6個月),55.77,34.2%,23.8,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
7,3008,大立光,$2355.00,75.6,A,65,77,低,HOLD,60%,可配置20-30%資金,中長期持有 (3-6個月),168.20,13.1%,14.0,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
8,4904,遠傳,$88.80,74.8,A,72,65,低,BUY,92%,可配置20-30%資金,中長期持有 (3-6個月),3.71,15.7%,23.9,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
9,8422,可寧衛,$201.50,74.3,A,70,76,低,BUY,70%,可配置20-30%資金,中長期持有 (3-6個月),12.24,22.4%,16.5,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 技術面趨勢明確,成交量萎縮 - 流動性風險
10,9910,豐泰,$132.00,74.1,A,69,55,低,HOLD,64%,可配置20-30%資金,中長期持有 (3-6個月),4.94,22.1%,26.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
